1.00E-02,1.98E+01
1.25E-02,1.66E+01
1.50E-02,1.45E+01
1.75E-02,1.28E+01
2.00E-02,1.16E+01
2.50E-02,9.76E+00
3.00E-02,8.50E+00
3.50E-02,7.57E+00
4.00E-02,6.86E+00
4.50E-02,6.29E+00
5.00E-02,5.83E+00
5.50E-02,5.44E+00
6.00E-02,5.12E+00
7.00E-02,4.60E+00
8.00E-02,4.20E+00
9.00E-02,3.89E+00
1.00E-01,3.64E+00
1.25E-01,3.18E+00
1.50E-01,2.87E+00
1.75E-01,2.64E+00
2.00E-01,2.48E+00
2.50E-01,2.24E+00
3.00E-01,2.09E+00
3.50E-01,1.99E+00
4.00E-01,1.91E+00
4.50E-01,1.85E+00
5.00E-01,1.81E+00
5.50E-01,1.78E+00
6.00E-01,1.75E+00
7.00E-01,1.72E+00
8.00E-01,1.69E+00
9.00E-01,1.68E+00
1.00E+00,1.67E+00
1.25E+00,1.67E+00
1.50E+00,1.68E+00
1.75E+00,1.70E+00
2.00E+00,1.71E+00
2.50E+00,1.75E+00
3.00E+00,1.78E+00
3.50E+00,1.82E+00
4.00E+00,1.85E+00
4.50E+00,1.88E+00
5.00E+00,1.91E+00
5.50E+00,1.94E+00
6.00E+00,1.97E+00
7.00E+00,2.02E+00
8.00E+00,2.07E+00
9.00E+00,2.11E+00
1.00E+01,2.16E+00
1.25E+01,2.26E+00
1.50E+01,2.36E+00
1.75E+01,2.45E+00
2.00E+01,2.54E+00
2.50E+01,2.71E+00
3.00E+01,2.87E+00
3.50E+01,3.02E+00
4.00E+01,3.16E+00
4.50E+01,3.31E+00
5.00E+01,3.45E+00
5.50E+01,3.59E+00
6.00E+01,3.72E+00
7.00E+01,4.00E+00
8.00E+01,4.27E+00
9.00E+01,4.54E+00
1.00E+02,4.81E+00
1.25E+02,5.48E+00
1.50E+02,6.15E+00
1.75E+02,6.82E+00
2.00E+02,7.49E+00
2.50E+02,8.83E+00
3.00E+02,1.02E+01
3.50E+02,1.15E+01
4.00E+02,1.29E+01
4.50E+02,1.42E+01
5.00E+02,1.55E+01
5.50E+02,1.69E+01
6.00E+02,1.82E+01
7.00E+02,2.09E+01
8.00E+02,2.36E+01
9.00E+02,2.63E+01
1.00E+03,2.90E+01
